species_or_node,posterior_mean
Sp1.Node497,0.186629686126513
Sp1.Node495,0.186476758012961
Sp1.Node498,0.186140925050593
Sp1.Puccinellia maritima,0.185635305762384
Sp1.Node1030,0.18184978269291
Sp1.Node830,0.180658351565825
Sp1.Node724,0.180513621370898
Sp1.Node829,0.179931774936401
Sp1.Mentha pulegium,0.178517024048539
Sp1.Epipactis helleborine,0.178495326246956
Sp1.Scrophularia auriculata,0.178483640258616
Sp1.Papaver cambricum,0.177637946033459
Sp1.Node1066,0.176856497138467
Sp1.Juncus conglomeratus,0.176363170696343
Sp1.Epipactis atrorubens,0.175611776236985
Sp1.Node1067,0.174732260493537
Sp1.Epipactis leptochila,0.174640887784339
Sp1.Node1068,0.173597054932793
Sp1.Node828,0.173417908187941
Sp1.Node1069,0.172582003130584
Sp1.Sparganium natans,0.171888030062672
Sp1.Node1019,0.170978940168766
Sp1.Rubus caesius,0.169893522022893
Sp1.Node1105,0.169049355558283
Sp1.Epipactis dunensis,0.168863304019197
Sp1.Node571,0.168738783255592
Sp1.Epipactis phyllanthes,0.168209691729593
Sp1.Puccinellia fasciculata,0.166614540449822
Sp1.Scrophularia nodosa,0.163359473197338
Sp1.Erodium aethiopicum,0.152855254191402
Sp1.Node84,0.1527354865782
Sp1.Erodium cicutarium,0.152596710502128
Sp1.Node472,0.150482090038749
Sp1.Node522,0.144065537966634
Sp1.Node796,0.143590770767935
Sp1.Node797,0.143029035267118
Sp1.Sparganium erectum,0.137787771637234
Sp1.Rubus idaeus,0.13029463520926
Sp1.Melampyrum pratense,0.127328232704249
Sp1.Limonium vulgare,0.126885479946598
Sp1.Limonium humile,0.126658627960053
Sp1.Node183,0.126610872293981
Sp1.Node728,0.12655047918661
Sp1.Node141,0.125013183808854
Sp1.Node83,0.123041078566746
Sp1.Node570,0.121291165215963
Sp1.Node569,0.12107421748006
Sp1.Node552,0.120437267333831
Sp1.Koeleria vallesiana,0.12007280277276
Sp1.Node93,0.118886112140537
Sp1.Node142,0.118646521481593
Sp1.Vaccinium vitis-idaea,0.118537568746845
Sp1.Ajuga chamaepitys,0.118163244637238
Sp1.Melampyrum sylvaticum,0.116619591341567
Sp1.Koeleria macrantha,0.115638215119433
Sp1.Veronica alpina,0.114654929792838
Sp1.Node523,0.112882513657061
Sp1.Erodium moschatum,0.111495677831266
Sp1.Node493,0.111367501854792
Sp1.Veronica montana,0.110097193958819
Sp1.Geranium lucidum,0.109736516937039
Sp1.Node822,0.108228284165332
Sp1.Melampyrum cristatum,0.10631846871034
Sp1.Juncus balticus,0.103881780130279
Sp1.Vaccinium myrtillus,0.101968972783778
Sp1.Node82,0.101795243841539
Sp1.Sanguisorba officinalis,0.100028927734897
Sp1.Galeopsis bifida,0.0991437158655014
Sp1.Veronica officinalis,0.0984396881945437
Sp1.Clinopodium acinos,0.09771148326975
Sp1.Galeopsis tetrahit,0.0975371696219534
Sp1.Rubus saxatilis,0.095050935966395
Sp1.Node494,0.094239328625095
Sp1.Node104,0.089792364834493
Sp1.Erodium maritimum,0.0890854641759015
Sp1.Node106,0.0883354457079527
Sp1.Node140,0.0823026823641148
Sp1.Juncus gerardii,0.0821170477794273
Sp1.Clinopodium vulgare,0.0814492317954368
Sp1.Juncus compressus,0.0803907217052014
Sp1.Node471,0.0794288943279067
Sp1.Node1017,0.0793690794397302
Sp1.Node1018,0.0791161810798526
Sp1.Node1016,0.0771447104816587
Sp1.Teucrium scordium,0.0753192642790296
Sp1.Euphorbia paralias,0.0741671170145113
Sp1.Euphorbia portlandica,0.0733841643917474
Sp1.Teucrium scorodonia,0.0728051676182325
Sp1.Node261,0.0725972990215535
Sp1.Node474,0.0712186741797588
Sp1.Node546,0.0661434116196676
Sp1.Node485,0.0636524347135464
Sp1.Rubus chamaemorus,0.0630291104388761
Sp1.Node484,0.062263525639036
Sp1.Rorippa palustris,0.0620626150807514
Sp1.Rorippa amphibia,0.0611547711628399
Sp1.Node43,0.061095189120035
Sp1.Rorippa sylvestris,0.0609703057943588
Sp1.Node723,0.0578172722767758
Sp1.Node545,0.0566308721080802
Sp1.Sanguisorba minor,0.0549754875096585
