Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Alchemilla alpina,Alchemilla alpina,Alchemilla alpina,,,,P,2cd4p9h.x8s,,L.,Alpine Lady's-mantle,,,,unchecked,b,Alchemilla alpina,Vas_48,NBNSYS0000003369,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x8s&class=TaxonInstance,
Alchemilla glabra,Alchemilla glabra,Alchemilla glabra,,,,P,2cd4p9h.89d,,Neygenf.,Smooth Lady's-mantle,,,,unchecked,b,Alchemilla glabra,Vas_51,NHMSYS0000455726,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.89d&class=TaxonInstance,
Alchemilla glaucescens,Alchemilla glaucescens,Alchemilla glaucescens,,,,P,2cd4p9h.ez7,,Wallr.,Silky Lady's-mantle,,,,unchecked,b,Alchemilla glaucescens,Vas_54,NBNSYS0000003372,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ez7&class=TaxonInstance,
Alchemilla glomerulans,Alchemilla glomerulans,Alchemilla glomerulans,,,,P,2cd4p9h.v6c,,Buser,Clustered Lady's-mantle,,,,unchecked,b,Alchemilla glomerulans,Vas_52,NBNSYS0000003380,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v6c&class=TaxonInstance,
Alchemilla micans,Alchemilla micans,Alchemilla micans,,,,P,2cd4p9h.b76,,Buser,Shining Lady's-mantle,,,,unchecked,b,Alchemilla micans,Vas_2552,NBNSYS0100001449,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.b76&class=TaxonInstance,
Alchemilla minima,Alchemilla filicaulis,Alchemilla minima,,,,P,2cd4p9h.f9,,Walters,Least Lady's-mantle,,,,unchecked,b,Alchemilla minima,Vas_53,NBNSYS0000003376,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f9&class=TaxonInstance,
Alchemilla monticola,Alchemilla monticola,Alchemilla monticola,,,,P,2cd4p9h.bk2,,Opiz,Velvet Lady's-mantle,,,,unchecked,b,Alchemilla monticola,Vas_55,NBNSYS0000003377,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bk2&class=TaxonInstance,
Alchemilla subcrenata,Alchemilla subcrenata,Alchemilla subcrenata,,,,P,2cd4p9h.89g,,Buser,Large-toothed Lady's-mantle,,,,unchecked,b,Alchemilla subcrenata,Vas_56,NBNSYS0000003375,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.89g&class=TaxonInstance,
Alchemilla wichurae,Alchemilla wichurae,Alchemilla wichurae,,,,P,2cd4p9h.89w,,(Buser) Stefánsson,Rock Lady's-mantle,,,,unchecked,b,Alchemilla wichurae,Vas_59,NHMSYS0000455738,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.89w&class=TaxonInstance,
Alchemilla xanthochlora,Alchemilla xanthochlora,Alchemilla xanthochlora,,,,P,2cd4p9h.89m,,Rothm.,Intermediate Lady's-mantle,,,,unchecked,b,Alchemilla xanthochlora,Vas_60,NBNSYS0000003379,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.89m&class=TaxonInstance,
Alisma gramineum,Alisma gramineum,Alisma gramineum,,,,P,2cd4p9h.eqe,,Lej.,Ribbon-leaved Water-plantain,,,,confirmed,b,Alisma gramineum,Vas_61,NBNSYS0000002103,species,,N,N,Alisma,Alismataceae,Alisma gramineum subsp. wahlenbergii;Alisma gramineum subsp. gramineum,Alisma gramineum subsp. wahlenbergii Holmb.;Alisma gramineum subsp. gramineum Lej.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.eqe&class=TaxonInstance,
Alisma lanceolatum,Alisma lanceolatum,Alisma lanceolatum,4,28,7,P,2cd4p9h.4mp,,With.,Narrow-leaved Water-plantain,,,,confirmed,b,Alisma lanceolatum,Vas_62,NBNSYS0000002102,species,,N,N,Alisma,Alismataceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4mp&class=TaxonInstance,
Alisma plantago-aquatica,Alisma plantago-aquatica,Alisma plantago-aquatica,2,14,7,P,2cd4p9h.4ms,,L.,Water-plantain,,,,confirmed,b,Alisma plantago-aquatica,Vas_63,NBNSYS0000002101,species,,N,N,Alisma,Alismataceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4ms&class=TaxonInstance,
Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,4,36,9,B,2cd4p9h.ybd,,(M.Bieb.) Cavara & Grande,Garlic Mustard,,,,unchecked,b,Alliaria petiolata,Vas_64,NHMSYS0000455754,species,,N,N,Alliaria,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ybd&class=TaxonInstance,
Allium ampeloprasum,Allium ampeloprasum,Allium ampeloprasum,,,,P,2cd4p9h.kxp,,L.,Wild Leek,,,,confirmed,b,Allium ampeloprasum,Vas_8283,NBNSYS0000034220,species,,N,Ar,Allium,Amaryllidaceae,Allium ampeloprasum var. babingtonii;Allium ampeloprasum var. ampeloprasum;Allium ampeloprasum var. bulbiferum;Allium ampeloprasum 'Elephant',Allium ampeloprasum var. babingtonii (Borrer) Syme;Allium ampeloprasum var. ampeloprasum L.;Allium ampeloprasum var. bulbiferum Syme;Allium ampeloprasum 'Elephant',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.kxp&class=TaxonInstance,
Allium oleraceum,Allium oleraceum,Allium oleraceum,5,40,8,P,2cd4p9h.ezg,,L.,Field Garlic,,,,confirmed,b,Allium oleraceum,Vas_68,NBNSYS0000002197,species,,N,N,Allium,Amaryllidaceae,Allium oleraceum var. complanatum;Allium oleraceum var. oleraceum,Allium oleraceum var. complanatum Fr.;Allium oleraceum var. oleraceum L.,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.ezg&class=TaxonInstance,
Allium schoenoprasum,Allium schoenoprasum,Allium schoenoprasum,2,16,8,P,2cd4p9h.89p,,L.,Chives,,,,confirmed,b,Allium schoenoprasum,Vas_72,NBNSYS0000002199,species,,N,N,Allium,Amaryllidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.89p&class=TaxonInstance,
Allium scorodoprasum,Allium scorodoprasum,Allium scorodoprasum,2,16,8,P,2cd4p9h.fv,,L.,Sand Leek,,,,confirmed,b,Allium scorodoprasum,Vas_71,NBNSYS0000002194,species,,N,N,Allium,Amaryllidaceae,Allium scorodoprasum subsp. scorodoprasum,Allium scorodoprasum subsp. scorodoprasum L.,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.fv&class=TaxonInstance,
Allium sphaerocephalon,Allium sphaerocephalon,Allium sphaerocephalon,,,,P,2cd4p9h.89s,,L.,Round-headed Leek,,,,unchecked,b,Allium sphaerocephalon,Vas_73,NBNSYS0000002195,species,,N,?N,Allium,Amaryllidaceae,Allium sphaerocephalon subsp. sphaerocephalon,Allium sphaerocephalon subsp. sphaerocephalon L.,native or alien,native (inferred),native or alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.89s&class=TaxonInstance,
Allium ursinum,Allium ursinum,Allium ursinum,2,14,7,P,2cd4p9h.8a0,,L.,Ramsons,,,,confirmed,b,Allium ursinum,Vas_75,NBNSYS0000002205,species,,N,N,Allium,Amaryllidaceae,Allium ursinum subsp. ursinum,Allium ursinum subsp. ursinum L.,native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.8a0&class=TaxonInstance,
Allium vineale,Allium vineale,Allium vineale,4,32,8,P,2cd4p9h.4n0,,L.,Wild Onion,,,,confirmed,b,Allium vineale,Vas_76,NBNSYS0000002196,species,,N,N,Allium,Amaryllidaceae,Allium vineale var. capsuliferum;Allium vineale var. compactum;Allium vineale var. vineale,Allium vineale var. capsuliferum Koch;Allium vineale var. compactum (Thuill.) Boreau;Allium vineale var. vineale L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4n0&class=TaxonInstance,
Alnus glutinosa,Alnus glutinosa,Alnus glutinosa,2,28,14,P,2cd4p9h.v6v,,(L.) Gaertn.,Alder,,,,confirmed,b,Alnus glutinosa,Vas_77,NHMSYS0000455771,species,,N,N,Alnus,Betulaceae,Alnus glutinosa 'Imperialis';Alnus glutinosa var. macrocarpa;Alnus glutinosa var. rubrinervia;Alnus glutinosa var. laciniata;Alnus glutinosa 'Aurea',Alnus glutinosa 'Imperialis';Alnus glutinosa var. macrocarpa Req.;Alnus glutinosa var. rubrinervia Dippel;Alnus glutinosa var. laciniata (Willd.) Regel;Alnus glutinosa 'Aurea',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v6v&class=TaxonInstance,
Alopecurus aequalis,Alopecurus aequalis,Alopecurus aequalis,2,14,7,A,2cd4p9h.x99,,Sobol.,Orange Foxtail,,,,confirmed,b,Alopecurus aequalis,Vas_79,NBNSYS0000002659,species,,N,N,Alopecurus,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x99&class=TaxonInstance,
Alopecurus magellanicus,Alopecurus magellanicus,Alopecurus borealis,,,,P,2cd4p9h.4n3,,Trin.,Alpine Foxtail,Alopecurus magellanicus,Lam.,2cd4p9h.3hkbsf,confirmed,b,Alopecurus borealis,Vas_80,NBNSYS0000002662,species,,N,N,Alopecurus,Poaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.4n3&class=TaxonInstance,
Alopecurus bulbosus,Alopecurus bulbosus,Alopecurus bulbosus,2,14,7,P,2cd4p9h.x9c,,Gouan,Bulbous Foxtail,,,,confirmed,b,Alopecurus bulbosus,Vas_81,NBNSYS0000002661,species,,N,N,Alopecurus,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x9c&class=TaxonInstance,
Alopecurus geniculatus,Alopecurus geniculatus,Alopecurus geniculatus,4,28,7,P,2cd4p9h.x9f,,L.,Marsh Foxtail,,,,confirmed,b,Alopecurus geniculatus,Vas_82,NBNSYS0000002657,species,,N,N,Alopecurus,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x9f&class=TaxonInstance,
Alopecurus myosuroides,Alopecurus myosuroides,Alopecurus myosuroides,2,14,7,A,2cd4p9h.x9v,,Huds.,Black-grass,,,,confirmed,b,Alopecurus myosuroides,Vas_84,NHMSYS0000455779,species,,N,Ar,Alopecurus,Poaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.x9v&class=TaxonInstance,
Alopecurus pratensis,Alopecurus pratensis,Alopecurus pratensis,4,28,7,P,2cd4p9h.8a6,,L.,Meadow Foxtail,,,,confirmed,b,Alopecurus pratensis,Vas_85,NBNSYS0000002656,species,,N,N,Alopecurus,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8a6&class=TaxonInstance,
Althaea officinalis,Althaea officinalis,Althaea officinalis,,,,P,2cd4p9h.fz,,L.,Marsh-mallow,,,,unchecked,b,Althaea officinalis,Vas_87,NBNSYS0000003139,species,,N,N,Althaea,Malvaceae,,,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.fz&class=TaxonInstance,
Ammophila arenaria,Ammophila arenaria,Ammophila arenaria,4,28,7,P,2cd4p9h.ybg,,(L.) Link,Marram,,,,confirmed,b,Ammophila arenaria,Vas_97,NBNSYS0000002629,species,,N,N,Ammophila,Poaceae,Ammophila arenaria subsp. arenaria,Ammophila arenaria subsp. arenaria (L.) Link,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ybg&class=TaxonInstance,
Anacamptis morio,Anacamptis morio,Anacamptis morio,2,36,18,P,2cd4p9h.6y71f0,,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Green-winged Orchid,,,,confirmed,b,Anacamptis morio,Vas_1389,NHMSYS0000455893,species,,,,Anacamptis,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.6y71f0&class=TaxonInstance,
Anacamptis pyramidalis,Anacamptis pyramidalis,Anacamptis pyramidalis,,,,P,2cd4p9h.v6z,,(L.) Rich.,Pyramidal Orchid,,,,confirmed,b,Anacamptis pyramidalis,Vas_98,NBNSYS0000002347,species,,N,N,Anacamptis,Orchidaceae,Anacamptis pyramidalis f. albiflora;Anacamptis pyramidalis f. pyramidalis;Anacamptis pyramidalis f. sanguinea;Anacamptis pyramidalis f. angustiloba,Anacamptis pyramidalis f. albiflora Fors.-Major;Anacamptis pyramidalis f. pyramidalis (L.) Rich.;Anacamptis pyramidalis f. sanguinea (Druce) P.D.Sell;Anacamptis pyramidalis f. angustiloba Brébisson,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v6z&class=TaxonInstance,
Lysimachia arvensis,Lysimachia arvensis,Anagallis arvensis,,,,A,2cd4p9h.bke,,L.,Scarlet Pimpernel,,,,unchecked,b,Anagallis arvensis,Vas_99,NBNSYS0000003943,species,,N,N,Anagallis,Primulaceae,Anagallis arvensis subsp. foemina;Anagallis arvensis subsp. arvensis;Anagallis arvensis subsp. arvensis x subsp. foemina = Anagallis arvensis nothosubsp. doerfleri,Anagallis arvensis subsp. foemina (Mill.) Schinz & Thell.;Anagallis arvensis subsp. arvensis L.;Anagallis arvensis subsp. arvensis x subsp. foemina = Anagallis arvensis nothosubsp. doerfleri Ronniger,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bke&class=TaxonInstance,
Lysimachia minima,Lysimachia minima,Anagallis minima,,,,A,2cd4p9h.f4h,,(L.) E.H.L.Krause,Chaffweed,Centunculus minimus,L.,2cd4p9h.6nt5hn,unchecked,b,Anagallis minima,Vas_456,NHMSYS0000455902,species,,N,N,Anagallis,Primulaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.f4h&class=TaxonInstance,
Lysimachia tenella,Anagallis tenella,Anagallis tenella,2,22,10,P,2cd4p9h.8af,,(L.) L.,Bog Pimpernel,,,,unchecked,b,Anagallis tenella,Vas_100,NBNSYS0000003942,species,,N,N,Anagallis,Primulaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8af&class=TaxonInstance,
Andromeda polifolia,Andromeda polifolia,Andromeda polifolia,,,,P,2cd4p9h.gn,,L.,Bog-rosemary,,,,unchecked,b,Andromeda polifolia,Vas_103,NBNSYS0000003895,species,,N,N,Andromeda,Ericaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.gn&class=TaxonInstance,
Anemone nemorosa,Anemone nemorosa,Anemone nemorosa,,,,P,2cd4p9h.gt,,L.,Wood Anemone,,,,confirmed,b,Anemone nemorosa,Vas_105,NBNSYS0000002700,species,,N,N,Anemone,Ranunculaceae,Anemone nemorosa var. nemorosa;Anemone nemorosa var. caerulea;Anemone nemorosa 'Alba Plena';Anemone nemorosa 'Robinsoniana',Anemone nemorosa var. nemorosa L.;Anemone nemorosa var. caerulea DC.;Anemone nemorosa 'Alba Plena';Anemone nemorosa 'Robinsoniana',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.gt&class=TaxonInstance,
Angelica archangelica,Angelica archangelica,Angelica archangelica,,,,P,2cd4p9h.bkn,,L.,Garden Angelica,,,,unchecked,b,Angelica archangelica,Vas_108,NBNSYS0000003704,species,,A,Ne,Angelica,Apiaceae,Angelica archangelica subsp. littoralis,Angelica archangelica subsp. littoralis (Wahlenb.) Thell.,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.bkn&class=TaxonInstance,
Angelica sylvestris,Angelica sylvestris,Angelica sylvestris,,,,P,2cd4p9h.8ax,,L.,Wild Angelica,,,,unchecked,b,Angelica sylvestris,Vas_109,NBNSYS0000003703,species,,N,N,Angelica,Apiaceae,Angelica sylvestris var. grossedentata;Angelica sylvestris var. sylvestris;Angelica sylvestris var. villosa,Angelica sylvestris var. grossedentata Rouy & Camus;Angelica sylvestris var. sylvestris L.;Angelica sylvestris var. villosa (Lag.) Willk. & Lange,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8ax&class=TaxonInstance,
Anisantha sterilis,Bromus sterilis,Anisantha sterilis,,,,A,2cd4p9h.bkt,,(L.) Nevski,Barren Brome,,,,confirmed,b,Anisantha sterilis,Vas_113,NBNSYS0000002575,species,,N,Ar,Anisantha,Poaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.bkt&class=TaxonInstance,
Anogramma leptophylla,Anogramma leptophylla,Anogramma leptophylla,,,,A,2cd4p9h.y8s,,(L.) Link,Jersey Fern,,,,confirmed,b,Anogramma leptophylla,Vas_115,NBNSYS0000002033,species,,N,N,Anogramma,Pteridaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y8s&class=TaxonInstance,
Antennaria dioica,Antennaria dioica,Antennaria dioica,,,,P,2cd4p9h.xan,,(L.) Gaertn.,Mountain Everlasting,,,,unchecked,b,Antennaria dioica,Vas_116,NHMSYS0000455950,species,,N,N,Antennaria,Asteraceae,Antennaria dioica var. pedicellata;Antennaria dioica var. dioica;Antennaria dioica var. hyperborea;Antennaria dioica 'Rubra',Antennaria dioica var. pedicellata F.B.White;Antennaria dioica var. dioica (L.) Gaertn.;Antennaria dioica var. hyperborea (Don) DC.;Antennaria dioica 'Rubra',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xan&class=TaxonInstance,
Anthemis arvensis,Anthemis arvensis,Anthemis arvensis,2,18,9,A,2cd4p9h.ezs,,L.,Corn Chamomile,,,,unchecked,b,Anthemis arvensis,Vas_117,NBNSYS0000004449,species,,N,Ar,Anthemis,Asteraceae,Anthemis arvensis subsp. arvensis;Anthemis arvensis subsp. incrassata,Anthemis arvensis subsp. arvensis L.;Anthemis arvensis subsp. incrassata (Loisel.) Nyman,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.ezs&class=TaxonInstance,
Anthemis cotula,Anthemis cotula,Anthemis cotula,2,18,9,A,2cd4p9h.f00,,L.,Stinking Chamomile,,,,unchecked,b,Anthemis cotula,Vas_118,NBNSYS0000004448,species,,N,Ar,Anthemis,Asteraceae,Anthemis cotula var. cotula;Anthemis cotula var. vectensis,Anthemis cotula var. cotula L.;Anthemis cotula var. vectensis (F.N.Williams) P.D.Sell,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.f00&class=TaxonInstance,
Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,4,20,5,P,2cd4p9h.xaq,,L.,Sweet Vernal-grass,,,,confirmed,b,Anthoxanthum odoratum,Vas_121,NBNSYS0000002667,species,,N,N,Anthoxanthum,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xaq&class=TaxonInstance,
Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis,2,14,8,A,2cd4p9h.ybs,,M.Bieb.,Bur Chervil,,,,unchecked,b,Anthriscus caucalis,Vas_123,NHMSYS0000455967,species,,N,N,Anthriscus,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ybs&class=TaxonInstance,
Anthriscus sylvestris,Anthriscus sylvestris,Anthriscus sylvestris,2,16,8,P,2cd4p9h.v7e,,(L.) Hoffm.,Cow Parsley,,,,unchecked,b,Anthriscus sylvestris,Vas_125,NBNSYS0000003641,species,,N,N,Anthriscus,Apiaceae,Anthriscus sylvestris var. latisecta;Anthriscus sylvestris var. sylvestris;Anthriscus sylvestris 'Ravenswing',Anthriscus sylvestris var. latisecta Druce;Anthriscus sylvestris var. sylvestris (L.) Hoffm.;Anthriscus sylvestris 'Ravenswing',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v7e&class=TaxonInstance,
Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,2,12,6,P,2cd4p9h.f03,,L.,Kidney Vetch,,,,confirmed,b,Anthyllis vulneraria,Vas_126,NBNSYS0000003255,species,,N,N,Anthyllis,Fabaceae,Anthyllis vulneraria subsp. vulneraria;Anthyllis vulneraria subsp. polyphylla;Anthyllis vulneraria subsp. corbierei;Anthyllis vulneraria subsp. carpatica;Anthyllis vulneraria subsp. lapponica;Anthyllis vulneraria subsp. maritima,Anthyllis vulneraria subsp. vulneraria L.;Anthyllis vulneraria subsp. polyphylla (DC.) Nyman;Anthyllis vulneraria subsp. corbierei (C.E.Salmon & Travis) Cullen;Anthyllis vulneraria subsp. carpatica (Pant.) Nyman;Anthyllis vulneraria subsp. lapponica (Hyl.) Jalas;Anthyllis vulneraria subsp. maritima (Hagen) Corb.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f03&class=TaxonInstance,
Apera spica-venti,Apera spica-venti,Apera spica-venti,2,14,7,A,2cd4p9h.f0f,,(L.) P.Beauv.,Loose Silky-bent,,,,confirmed,b,Apera spica-venti,Vas_130,NBNSYS0000002644,species,,N,Ar,Apera,Poaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0f&class=TaxonInstance,
Aphanes arvensis,Aphanes arvensis,Aphanes arvensis,6,48,8,A,2cd4p9h.f0v,agg.,L.,Parsley Piert,,,,unchecked,b,Aphanes arvensis,Vas_131,NHMSYS0000455991,species,,,,Aphanes,Rosaceae,Aphanes arvensis s.s.;Aphanes australis,Aphanes arvensis L. s.s.;Aphanes australis Rydb.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0v&class=TaxonInstance,
Aphanes australis,Aphanes australis,Aphanes australis,2,16,8,A,2cd4p9h.f0x,,Rydb.,Slender Parsley-piert,,,,unchecked,b,Aphanes australis,Vas_133,NBNSYS0100001604,species,,N,N,Aphanes,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0x&class=TaxonInstance,
Apium graveolens,Apium graveolens,Apium graveolens,2,22,11,B,2cd4p9h.v7h,,L.,Wild Celery,,,,unchecked,b,Apium graveolens,Vas_134,NBNSYS0000003663,species,,N,N,Apium,Apiaceae,Apium graveolens var. rapaceum;Apium graveolens var. graveolens;Apium graveolens var. dulce;Apium graveolens subsp. graveolens;Apium graveolens subsp. rapaceum,Apium graveolens var. rapaceum (Mill.) DC.;Apium graveolens var. graveolens L.;Apium graveolens var. dulce (Mill.) DC.;Apium graveolens subsp. graveolens L.;Apium graveolens subsp. rapaceum (Mill.) P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v7h&class=TaxonInstance,
Helosciadium inundatum,Apium inundatum,Apium inundatum,2,22,11,P,2cd4p9h.f0r,,(L.) Rchb.f.,Lesser Marshwort,,,,unchecked,b,Apium inundatum,Vas_135,NHMSYS0000455995,species,,N,N,Apium,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0r&class=TaxonInstance,
Helosciadium nodiflorum,Apium nodiflorum,Apium nodiflorum,2,22,11,P,2cd4p9h.f0z,,(L.) Lag.,Fool's-water-cress,,,,unchecked,b,Apium nodiflorum,Vas_137,NBNSYS0000003666,species,,N,N,Apium,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0z&class=TaxonInstance,
Helosciadium repens,Apium repens,Apium repens,2,22,11,P,2cd4p9h.7tr,,(Jacq.) Lag.,Creeping Marshwort,,,,unchecked,b,Apium repens,Vas_138,NBNSYS0000003668,species,,N,N,Apium,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.7tr&class=TaxonInstance,
Aquilegia vulgaris,Aquilegia vulgaris,Aquilegia vulgaris,2,14,7,P,2cd4p9h.yc6,,L.,Columbine,,,,confirmed,b,Aquilegia vulgaris,Vas_141,NBNSYS0000002742,species,,N,N,Aquilegia,Ranunculaceae,Aquilegia vulgaris var. stellata;Aquilegia vulgaris 'Christa Barlow',Aquilegia vulgaris var. stellata Schur;Aquilegia vulgaris 'Christa Barlow',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.yc6&class=TaxonInstance,
Arabidopsis petraea,Arabidopsis lyrata,Arabidopsis petraea,2,16,8,P,2cd4p9h.83ng3h,,(L.) V.I.Dorof.,Northern Rock-cress,,,,unchecked,b,Arabidopsis petraea,Vas_332,NHMSYS0021126128,species,,,,Arabidopsis,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.83ng3h&class=TaxonInstance,
Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,,,,A,2cd4p9h.xb4,,(L.) Heynh.,Thale Cress,,,,unchecked,b,Arabidopsis thaliana,Vas_142,NBNSYS0000002913,species,,N,N,Arabidopsis,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xb4&class=TaxonInstance,
Arabis alpina,Arabis alpina,Arabis alpina,2,16,8,P,2cd4p9h.426,,L.,Alpine Rock-cress,,,,unchecked,b,Arabis alpina,Vas_143,NBNSYS0000002887,species,,N,N,Arabis,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.426&class=TaxonInstance,
Turritis glabra,Turritis glabra,Arabis glabra,2,12,6,B,2cd4p9h.9bm,,(L.) Bernh.,Tower Mustard,Turritis glabra,L.,2cd4p9h.7gzd1a,unchecked,b,Arabis glabra,Vas_2108,NBNSYS0000002892,species,,N,N,Arabis,Brassicaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.9bm&class=TaxonInstance,
Arabis hirsuta,Arabis hirsuta,Arabis hirsuta,4,32,8,B,2cd4p9h.hm,,(L.) Scop.,Hairy Rock-cress,,,,unchecked,b,Arabis hirsuta,Vas_146,NBNSYS0000002889,species,,N,N,Arabis,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.hm&class=TaxonInstance,
Arabis scabra,Arabis scabra,Arabis scabra,2,16,8,P,2cd4p9h.xb7,,All.,Bristol Rock-cress,,,,unchecked,b,Arabis scabra,Vas_147,NBNSYS0000002891,species,,N,N,Arabis,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xb7&class=TaxonInstance,
Arctium lappa,Arctium lappa,Arctium lappa,2,36,18,B,2cd4p9h.xba,,L.,Greater Burdock,,,,unchecked,b,Arctium lappa,Vas_151,NBNSYS0000004480,species,,N,Ar,Arctium,Asteraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.xba&class=TaxonInstance,
